codigo,descripcion,imputable
11101,Caja,False
11102,Caja u$s,False
11103,Banco Patagonia Cta Cte,False
11104,Banco Galicia Cta Cte,False
11105,Banco Provincia Cta Cte,False
11106,Fondo Fijo,False
11107,Valores a Depositar,False
11108,Banco Provincia CC 50582/6,False
11110,Recaudaciones a Depositar,False
11112,Banco Provincia Cta Cte,False
11113,Cta Particular Marcelino Farias,False
11114,Cta Particular Yesica Farias,False
11201,Moneda Extranjera,False
11202,Plazo Fijo en pesos,False
11203,Plazo Fijo en Dolares,False
11204,Fondo Común de Inversión,False
11301,Deudores por Ventas,False
11302,Deudores por Tarjeta,False
11303,Garantias Otorgadas a Devoluc,False
11304,Alquileres a Cobrar,False
11305,Deudores Morosos,False
11306,Deudores en Gestión Judicial,False
11307,Cheques de Terceros Rechazados,False
11308,Deudores del Exterior,False
11401,Deudores Varios,False
11402,IVA Credito Fiscal,False
11403,IVA Percepción 3337,False
11404,Percepción Ingresos Brutos,False
11406,Anticipos a Proveedores,False
11407,Accionistas,False
11408,Retencion IIBB,False
11409,Retencion Ganancias,False
11410,Retencion IVA,False
11411,Imp a las Ganancias Saldo a Favor,False
11412,Retencion Imp a los Ingresos Brutos,False
11413,Retencion IIBB Ley 12837,False
11414,Retenciones Contribuc. SUSS,False
11415,Cuenta Particular Marcelino Farias,False
11416,Impuesto al Debito y Credito a Cta Gcias,False
11417,AFIP IVA Saldo a favor,False
11418,IVA Credito Fiscal Bancos,False
11419,Percepción de Iva,False
11420,IVA Compras Tarjetas 21%,False
11421,IVA Saldo Tecnico a favor,False
11422,IVA Compras Tarjetas 10.5%,False
11423,IVA Saldo Libre Disponibilidad,False
11424,Ingresos Brutos Saldo a favor,False
11425,Pago a Cuenta de Ingresos Brutos,False
11426,Retencion Imp a los Ingresos Brutos banc,False
11428,IVA Compras 10.5%,False
11429,IVA Compras 27%,False
11430,Pago a cta IIBB,False
11431,Anticipos impuesto a las ganancias,False
11501,Productos Terminados,False
11502,Productos en Proceso,False
11503,Materias Primas,False
11505,Mercaderías,False
11506,Mercadería de Reventa,False
11601,Alquileres Pagados por Adelantado,False
11602,Anticipo a Obras Sociales,False
12201,Seguros a cobrar,False
12301,Socios Art. 33 Ley 19550,False
12401,Terrenos,False
12402,Edificios,False
